year,month,period,naics,kind_of_business,measure,adjustment,value,preliminary
1992,1,1992-01,4522,Department stores,inv_sales_ratio,nsa,3.29,False
1992,2,1992-02,4522,Department stores,inv_sales_ratio,nsa,3.05,False
1992,3,1992-03,4522,Department stores,inv_sales_ratio,nsa,2.78,False
1992,4,1992-04,4522,Department stores,inv_sales_ratio,nsa,2.73,False
1992,5,1992-05,4522,Department stores,inv_sales_ratio,nsa,2.5,False
1992,6,1992-06,4522,Department stores,inv_sales_ratio,nsa,2.65,False
1992,7,1992-07,4522,Department stores,inv_sales_ratio,nsa,2.8,False
1992,8,1992-08,4522,Department stores,inv_sales_ratio,nsa,2.52,False
1992,9,1992-09,4522,Department stores,inv_sales_ratio,nsa,2.98,False
1992,10,1992-10,4522,Department stores,inv_sales_ratio,nsa,2.91,False
1992,11,1992-11,4522,Department stores,inv_sales_ratio,nsa,2.42,False
1992,12,1992-12,4522,Department stores,inv_sales_ratio,nsa,1.28,False
1993,1,1993-01,4522,Department stores,inv_sales_ratio,nsa,3.23,False
1993,2,1993-02,4522,Department stores,inv_sales_ratio,nsa,3.29,False
1993,3,1993-03,4522,Department stores,inv_sales_ratio,nsa,2.92,False
1993,4,1993-04,4522,Department stores,inv_sales_ratio,nsa,2.79,False
1993,5,1993-05,4522,Department stores,inv_sales_ratio,nsa,2.61,False
1993,6,1993-06,4522,Department stores,inv_sales_ratio,nsa,2.67,False
1993,7,1993-07,4522,Department stores,inv_sales_ratio,nsa,2.73,False
1993,8,1993-08,4522,Department stores,inv_sales_ratio,nsa,2.59,False
1993,9,1993-09,4522,Department stores,inv_sales_ratio,nsa,2.95,False
1993,10,1993-10,4522,Department stores,inv_sales_ratio,nsa,2.91,False
1993,11,1993-11,4522,Department stores,inv_sales_ratio,nsa,2.48,False
1993,12,1993-12,4522,Department stores,inv_sales_ratio,nsa,1.29,False
1994,1,1994-01,4522,Department stores,inv_sales_ratio,nsa,3.11,False
1994,2,1994-02,4522,Department stores,inv_sales_ratio,nsa,3.09,False
1994,3,1994-03,4522,Department stores,inv_sales_ratio,nsa,2.54,False
1994,4,1994-04,4522,Department stores,inv_sales_ratio,nsa,2.65,False
1994,5,1994-05,4522,Department stores,inv_sales_ratio,nsa,2.58,False
1994,6,1994-06,4522,Department stores,inv_sales_ratio,nsa,2.55,False
1994,7,1994-07,4522,Department stores,inv_sales_ratio,nsa,2.66,False
1994,8,1994-08,4522,Department stores,inv_sales_ratio,nsa,2.49,False
1994,9,1994-09,4522,Department stores,inv_sales_ratio,nsa,2.89,False
1994,10,1994-10,4522,Department stores,inv_sales_ratio,nsa,2.88,False
1994,11,1994-11,4522,Department stores,inv_sales_ratio,nsa,2.41,False
1994,12,1994-12,4522,Department stores,inv_sales_ratio,nsa,1.28,False
1995,1,1995-01,4522,Department stores,inv_sales_ratio,nsa,3.18,False
1995,2,1995-02,4522,Department stores,inv_sales_ratio,nsa,3.21,False
1995,3,1995-03,4522,Department stores,inv_sales_ratio,nsa,2.66,False
1995,4,1995-04,4522,Department stores,inv_sales_ratio,nsa,2.63,False
1995,5,1995-05,4522,Department stores,inv_sales_ratio,nsa,2.54,False
1995,6,1995-06,4522,Department stores,inv_sales_ratio,nsa,2.5,False
1995,7,1995-07,4522,Department stores,inv_sales_ratio,nsa,2.61,False
1995,8,1995-08,4522,Department stores,inv_sales_ratio,nsa,2.5,False
1995,9,1995-09,4522,Department stores,inv_sales_ratio,nsa,2.86,False
1995,10,1995-10,4522,Department stores,inv_sales_ratio,nsa,3.03,False
1995,11,1995-11,4522,Department stores,inv_sales_ratio,nsa,2.42,False
1995,12,1995-12,4522,Department stores,inv_sales_ratio,nsa,1.31,False
1996,1,1996-01,4522,Department stores,inv_sales_ratio,nsa,3.27,False
1996,2,1996-02,4522,Department stores,inv_sales_ratio,nsa,3.0,False
1996,3,1996-03,4522,Department stores,inv_sales_ratio,nsa,2.67,False
